16 32 170 154
20 25 30 4 23
10 12 15 1 8
16 32 170 154
100 200 50 1 159
125 220 51 1 147
110 200 75 1 236
110 200 75 1 236
110 200 75 1 236
110 200 75 1 236
110 200 75 1 236
110 200 75 1 236
110 200 75 1 236
110 200 75 1 236
110 200 75 1 236
110 200 75 1 236
110 200 75 1 236
110 200 75 1 236
110 200 75 1 236
110 200 75 1 236
110 200 75 1 236
110 200 75 1 236
16 32 170 154
110 200 75 1 236
110 200 75 1 236
110 200 75 1 236
110 200 75 1 236
110 200 75 1 236
110 200 75 1 236
110 200 75 1 236
110 200 75 1 236
110 200 75 1 236
110 200 75 1 236
110 200 75 1 236
110 200 75 1 236
110 200 75 1 236
110 200 75 1 236
110 200 75 1 236
110 200 75 1 236
110 200 75 1 236
110 200 75 1 236
110 200 75 1 236
110 200 75 1 236
110 200 75 1 236
110 200 75 1 236
110 200 75 1 236
110 200 75 1 236
110 200 75 1 236
16 32 170 154
